ダウンロードした時刻：2026/03/16 12:12:41

,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田,酒田
年月日,日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),日照時間(時間),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡),合計全天日射量(MJ/㎡)
,,,,,平年値(時間),平年値(時間),平年値(時間),,,,平年値(MJ/㎡),平年値(MJ/㎡)
,,現象なし情報,品質情報,均質番号,,現象なし情報,品質情報,,品質情報,均質番号,,品質情報
2025/1/1,1.2,0,8,1,1.1,,8,,0,1,,0
2025/1/2,0.1,0,8,1,1.1,,8,,0,1,,0
2025/1/3,0.1,0,8,1,1.1,,8,,0,1,,0
2025/1/4,1.5,0,8,1,1.1,,8,,0,1,,0
2025/1/5,1.1,0,8,1,1.1,,8,,0,1,,0
2025/1/6,3.2,0,8,1,1.1,,8,,0,1,,0
2025/1/7,1.1,0,8,1,1.1,,8,,0,1,,0
2025/1/8,0.4,0,8,1,1.1,,8,,0,1,,0
2025/1/9,0.0,0,8,1,1.1,,8,,0,1,,0
2025/1/10,0.1,0,8,1,1.1,,8,,0,1,,0
2025/1/11,3.5,0,8,1,1.1,,8,,0,1,,0
2025/1/12,5.0,0,8,1,1.1,,8,,0,1,,0
2025/1/13,3.1,0,8,1,1.1,,8,,0,1,,0
2025/1/14,0.0,0,8,1,1.2,,8,,0,1,,0
2025/1/15,0.0,0,8,1,1.2,,8,,0,1,,0
2025/1/16,0.3,0,8,1,1.2,,8,,0,1,,0
2025/1/17,1.6,0,8,1,1.2,,8,,0,1,,0
2025/1/18,0.2,0,8,1,1.3,,8,,0,1,,0
2025/1/19,7.8,0,8,1,1.3,,8,,0,1,,0
2025/1/20,0.3,0,8,1,1.3,,8,,0,1,,0
2025/1/21,0.0,0,8,1,1.3,,8,,0,1,,0
2025/1/22,4.1,0,8,1,1.3,,8,,0,1,,0
2025/1/23,0.9,0,8,1,1.3,,8,,0,1,,0
2025/1/24,1.6,0,8,1,1.3,,8,,0,1,,0
